iter	Passed	Remaining
0	0	70
1	1	64
2	1	61
3	2	56
4	2	56
5	3	55
6	4	54
7	4	53
8	5	53
9	5	52
10	6	52
11	7	51
12	7	50
13	8	50
14	8	49
15	9	48
16	9	48
17	10	47
18	10	46
19	11	45
20	12	45
21	12	45
22	13	44
23	13	43
24	14	43
25	14	42
26	15	41
27	15	41
28	16	40
29	17	39
30	17	39
31	18	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	34
38	21	34
39	22	33
40	22	33
41	23	32
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	48	6
89	49	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
